13:59:07:210 | 233 | CSIO1_TX CH10 | 64E2019B | MINIMUM_AIRSPEED_LIMIT | Min AS Limit: 250 Knots | 01 (CoPilo) | 03 (Normal)
13:59:07:210 | 233 | CSIO1_TX CH24 | 64E2019B | MINIMUM_AIRSPEED_LIMIT | Min AS Limit: 250 Knots | 01 (CoPilo) | 03 (Normal)
13:59:07:210 | 233 | CSIO1_TX CH26 | 64E2019B | MINIMUM_AIRSPEED_LIMIT | Min AS Limit: 250 Knots | 01 (CoPilo) | 03 (Normal)
13:59:07:210 | 176 | CSIO1_TX CH08 | 8000007E | FLIGHT_PHASE | EICAS Flight Phase - K1: False, EICAS Flight Phase - K2a: False, EICAS Flight Phase - K2b: False, EICAS Flight Phase - K3: False, EICAS Flight Phase - K4: False, EICAS Flight Phase - K5: False | 00 (Always) | 00 (Normal)
13:59:07:210 | 176 | CSIO1_TX CH10 | 8000007E | FLIGHT_PHASE | EICAS Flight Phase - K1: False, EICAS Flight Phase - K2a: False, EICAS Flight Phase - K2b: False, EICAS Flight Phase - K3: False, EICAS Flight Phase - K4: False, EICAS Flight Phase - K5: False | 00 (Always) | 00 (Normal)
13:59:07:210 | 176 | CSIO1_TX CH24 | 8000007E | FLIGHT_PHASE | EICAS Flight Phase - K1: False, EICAS Flight Phase - K2a: False, EICAS Flight Phase - K2b: False, EICAS Flight Phase - K3: False, EICAS Flight Phase - K4: False, EICAS Flight Phase - K5: False | 00 (Always) | 00 (Normal)
13:59:07:210 | 176 | CSIO1_TX CH26 | 8000007E | FLIGHT_PHASE | EICAS Flight Phase - K1: False, EICAS Flight Phase - K2a: False, EICAS Flight Phase - K2b: False, EICAS Flight Phase - K3: False, EICAS Flight Phase - K4: False, EICAS Flight Phase - K5: False | 00 (Always) | 00 (Normal)
13:59:07:218 | 346 | CSIO2_TX CH09 | E3FFC2E6 | N1_INDICATED | N1 Indicated: 63.984375 PercentRPM | 02 (FADEC3) | 03 (Normal)
13:59:07:218 | 346 | CSIO2_TX CH11 | E3FFC2E6 | N1_INDICATED | N1 Indicated: 63.984375 PercentRPM | 02 (FADEC3) | 03 (Normal)
13:59:07:218 | 360 | ELT_TX CH13  | E00000F0 | ELT_MAINT_DATA | ELT Internal Failure: False, ELT Antenna Failure: False, ELT A429 A In Health: False, ELT A429 B In Health: False, Spare: False, Spare: False, Battery Status: False, Flight Test Lockout: False, ACM Fault: False, ACM Disconnect: False, Reserved: False, Test Inhibit: False, Reserved: False | 00 (Always) | 03 (Normal)
13:59:07:218 | 346 | CSIO2_TX CH25 | E3FFC2E6 | N1_INDICATED | N1 Indicated: 63.984375 PercentRPM | 02 (FADEC3) | 03 (Normal)
13:59:07:218 | 346 | CSIO2_TX CH27 | E3FFC2E6 | N1_INDICATED | N1 Indicated: 63.984375 PercentRPM | 02 (FADEC3) | 03 (Normal)
13:59:07:218 | 360 | ELT_TX CH29  | E00000F0 | ELT_MAINT_DATA | ELT Internal Failure: False, ELT Antenna Failure: False, ELT A429 A In Health: False, ELT A429 B In Health: False, Spare: False, Spare: False, Battery Status: False, Flight Test Lockout: False, ACM Fault: False, ACM Disconnect: False, Reserved: False, Test Inhibit: False, Reserved: False | 00 (Always) | 03 (Normal)
13:59:07:219 | 315 | CSIO2_TX CH09 | EBFFE1CD | COCKPIT_FUEL_FLOW | Fuel Flow: 12287.5 PoundsPerHour | 01 (FADEC1) | 03 (Normal)
13:59:07:219 | 315 | CSIO2_TX CH11 | EBFFE1CD | COCKPIT_FUEL_FLOW | Fuel Flow: 12287.5 PoundsPerHour | 01 (FADEC1) | 03 (Normal)
13:59:07:219 | 350 | ELT_TX CH13  | 017E00E8 | ADT_CMC_Member_System_Status | Command Complete: False, CMC Command Response: Reserved For Member System | 00 (Always) | 00 (Normal)
13:59:07:219 | 315 | CSIO2_TX CH25 | EBFFE1CD | COCKPIT_FUEL_FLOW | Fuel Flow: 12287.5 PoundsPerHour | 01 (FADEC1) | 03 (Normal)
13:59:07:219 | 315 | CSIO2_TX CH27 | EBFFE1CD | COCKPIT_FUEL_FLOW | Fuel Flow: 12287.5 PoundsPerHour | 01 (FADEC1) | 03 (Normal)
13:59:07:219 | 350 | ELT_TX CH29  | 017E00E8 | ADT_CMC_Member_System_Status | Command Complete: False, CMC Command Response: Reserved For Member System | 00 (Always) | 00 (Normal)
13:59:07:219 | 300 | CSIO2_TX CH09 | 63F01CC0 | HORIZONTAL_STABILIZER_POSITION | CRC: 7, ChannelInControl: False, CorrelationMonitorStatus: False, HSTABPosition: 3.4453125 Degrees | 00 (Always) | 03 (Normal)
13:59:07:219 | 300 | CSIO2_TX CH11 | 63F01CC0 | HORIZONTAL_STABILIZER_POSITION | CRC: 7, ChannelInControl: False, CorrelationMonitorStatus: False, HSTABPosition: 3.4453125 Degrees | 00 (Always) | 03 (Normal)
13:59:07:219 | 300 | CSIO2_TX CH25 | 63F01CC0 | HORIZONTAL_STABILIZER_POSITION | CRC: 7, ChannelInControl: False, CorrelationMonitorStatus: False, HSTABPosition: 3.4453125 Degrees | 00 (Always) | 03 (Normal)
13:59:07:219 | 300 | CSIO2_TX CH27 | 63F01CC0 | HORIZONTAL_STABILIZER_POSITION | CRC: 7, ChannelInControl: False, CorrelationMonitorStatus: False, HSTABPosition: 3.4453125 Degrees | 00 (Always) | 03 (Normal)
13:59:07:220 | 105 | CSIO2_TX CH09 | 60000045 | RADIO_ALT_1 | Disp Rad Alt: 0 Feet | 00 (Always) | 03 (Normal)
